,titles,companyNames,jobSnippets,locations,dates,clean_dates,links
14,Analyste PMO junior - Junior PMO Analyst,Gameloft," Being responsible for the regular data analytics, report generation and key performance indicators. 1 year of experience in project management or PMO-related… ","Montréal, QC",2 days ago,2,https://ca.indeed.com/jobs?q=Analyste%20PMO%20junior%20-%20Junior%20PMO%20Analyst%20Gameloft
2,Junior Data Analyst,OSL Retail Services Inc, Acquire data from primary or secondary data sources and maintain databases/data systems. Proven working experience as a data analyst or business data analyst. ,"Mississauga, ON",3 days ago,3,https://ca.indeed.com/jobs?q=Junior%20Data%20Analyst%20OSL%20Retail%20Services%20Inc
4,Jr. Data Analyst,Ratehub, Support in developing and maintaining our data model by understanding key data sources and relationships between them. ,"Toronto, ON",3 days ago,3,https://ca.indeed.com/jobs?q=Jr.%20Data%20Analyst%20Ratehub
5,Junior Data Analyst,FlightHub, Analyzing data sets and identifying trends and patterns; Our team will count on you to use data from various sources to identify issues as they happen and to… ,"Montréal, QC",3 days ago,3,https://ca.indeed.com/jobs?q=Junior%20Data%20Analyst%20FlightHub
8,Junior Data Engineer,Kora, Help maintain and update the company-level data warehouse to ensure data accuracy. The Data Engineer will support our financial department and data scientists… ,"Toronto, ON",3 days ago,3,https://ca.indeed.com/jobs?q=Junior%20Data%20Engineer%20Kora
3,Junior Data Analyst,Scandinavian Building Services, Previous experience with large scale data analysis or data reconciliations. Advanced level Microsoft Excel and data analytics skills. ,"Edmonton, AB",10 days ago,10,https://ca.indeed.com/jobs?q=Junior%20Data%20Analyst%20Scandinavian%20Building%20Services
11,JUNIOR FINANCIAL ANALYST,Ministry of Colleges and Universities, Research and analyze statistical data from a variety of sources. You have well developed knowledge of financial information systems in order to obtain and… ,"Toronto, ON",11 days ago,11,https://ca.indeed.com/jobs?q=JUNIOR%20FINANCIAL%20ANALYST%20Ministry%20of%20Colleges%20and%20Universities
7,Junior Machine Learning Scientist,Ecoation," Analyzing customer horticultural data to provide meaningful insights. Occasional field visits to greenhouses to collect data, develop or test approaches. ","North Vancouver, BC",12 days ago,12,https://ca.indeed.com/jobs?q=Junior%20Machine%20Learning%20Scientist%20Ecoation
13,Junior Financial Analyst,Sault Area Hospital Foundation, Create and design reports and spreadsheets to provide value added data and analysis to Executive Director and Foundation team. Electronic and cash deposits. ,"Sault Ste. Marie, ON",12 days ago,12,https://ca.indeed.com/jobs?q=Junior%20Financial%20Analyst%20Sault%20Area%20Hospital%20Foundation
6,Junior Research Analyst,Carleton University, ?experience organizing and validating data. ?experience with data visualization and reporting. The ability to organize data accurately and prepare for reporting… ,"Ottawa, ON",19 days ago,19,https://ca.indeed.com/jobs?q=Junior%20Research%20Analyst%20Carleton%20University
1,Junior Data Analyst,O2E Brands, Passion for data visualization with Tableau. Experience blending data from disparate sources. Ensure consistent application of data governance initiatives. ,"Vancouver, BC",24 days ago,24,https://ca.indeed.com/jobs?q=Junior%20Data%20Analyst%20O2E%20Brands
10,Junior Business Analyst,Eastwood and Cleef," \*Tasks include, but are not limited to: client interviews, analytical work with detailed operations and/or financial data, support of client presentations,… ","Toronto, ON",26 days ago,26,https://ca.indeed.com/jobs?q=Junior%20Business%20Analyst%20Eastwood%20and%20Cleef
0,Junior Machine Learning Engineer / Data Scientist,Virtus Groups, Candidates must be a Canadian Citizen or Permanent Resident having resided in Canada for at least 10 years. You will be given the chance to work with state-of… ,"Vancouver, BC",30+ days ago,30,https://ca.indeed.com/jobs?q=Junior%20Machine%20Learning%20Engineer%20/%20Data%20Scientist%20Virtus%20Groups
9,Data Analytics Junior Technologist B,St. Clair College, Previous experience working with large data sets. Previous experience working with large data sets. Status: *Regular Part Time (2 Positions). ,"Windsor, ON",30+ days ago,30,https://ca.indeed.com/jobs?q=Data%20Analytics%20Junior%20Technologist%20B%20St.%20Clair%20College
12,Junior Business Analyst – CPM/BI,Corporate Renaissance Group, Assist in data transformation and validation. B.Comm with accounting/finance background and exposure to data analytics. Medical &amp; dental groups benefits plan. ,"Ottawa, ON",30+ days ago,30,https://ca.indeed.com/jobs?q=Junior%20Business%20Analyst%20%E2%80%93%20CPM/BI%20Corporate%20Renaissance%20Group
